Cross JSD: qwen3-8b vs r1-8b-0528
============================================================
III_EXPRESS_UNCERTAINTY_CONFUSION   peak_A=L29 peak_B=L6 r=0.614
III_PLAN_IMMEDIATE_REASONING_STEP   peak_A=L32 peak_B=L8 r=0.891
III_SELF_CORRECT_INFO_OR_DETAIL     peak_A=L32 peak_B=L34 r=-0.226
III_STATE_FACT_OR_KNOWLEDGE         peak_A=L8 peak_B=L7 r=0.896
III_SUMMARIZE_INTERNAL_REASONING    peak_A=L14 peak_B=L10 r=0.590
II_FLAG_PROMPT_AS_HARMFUL           peak_A=L24 peak_B=L23 r=0.856
II_STATE_ETHICAL_MORAL_CONCERN      peak_A=L9 peak_B=L9 r=0.845
II_STATE_LEGAL_CONCERN              peak_A=L12 peak_B=L8 r=0.873
II_STATE_SAFETY_CONCERN             peak_A=L9 peak_B=L9 r=0.863
IV_CONSIDER_BENIGN_REINTERPRETATION peak_A=L19 peak_B=L8 r=0.785
IV_INTEND_REFUSAL_OR_SAFE_ACTION    peak_A=L8 peak_B=L13 r=0.693
IV_SUGGEST_SAFE_CONSTRUCTIVE_ALTERNATIVE peak_A=L22 peak_B=L20 r=0.846
I_FLAG_USER_TESTING                 peak_A=L30 peak_B=L13 r=0.764
I_REPHRASE_PROMPT                   peak_A=L20 peak_B=L12 r=0.764
I_SPECULATE_USER_MOTIVE             peak_A=L20 peak_B=L23 r=0.797
VI_NEUTRAL_FILLER_TRANSITION        peak_A=L10 peak_B=L10 r=0.798
V_DETAIL_HARMFUL_METHOD_OR_INFO     peak_A=L17 peak_B=L19 r=0.890
V_INTEND_HARMFUL_COMPLIANCE         peak_A=L11 peak_B=L1 r=0.073
V_NOTE_RISK_WHILE_DETAILING_HARM    peak_A=L10 peak_B=L13 r=0.564

Mean r: 0.693
